tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_ba_to_ns.0;180.00;-230845886_0;5.10;0.00;0.88;492.00;23142338#2_0;290.21;9.40;312.00;2346.36;47.00;2;0.00;80.52;0;tripinfo_wu_ba_to_ns.0;car;0.92;
wu_od_to_ba.7;244.00;803785575#0_0;5.10;0.00;0.02;502.00;230845886_0;633.12;9.74;258.00;2382.14;18.00;1;0.00;38.98;0;tripinfo_wu_od_to_ba.7;car;0.98;
wu_ba_to_os.5;329.00;-230845886_0;5.10;0.00;2.73;504.00;45494495_0;58.90;10.86;175.00;1647.96;0.00;0;0.00;30.13;0;tripinfo_wu_ba_to_os.5;car;1.03;
wu_as_to_ko.12;338.00;23687583_0;5.10;0.00;0.90;504.00;972103805_0;116.86;11.17;166.00;1102.39;59.00;1;0.00;72.13;0;tripinfo_wu_as_to_ko.12;car;1.07;
wu_as_to_ko.13;344.00;23687583_0;5.10;0.00;0.65;506.00;972103805_0;116.86;11.00;162.00;1102.39;50.00;2;0.00;65.17;0;tripinfo_wu_as_to_ko.13;car;1.03;
wu_od_to_os.9;411.00;803785575#0_0;5.10;0.00;0.32;507.00;45494495_0;58.90;11.46;96.00;969.96;0.00;0;0.00;11.79;0;tripinfo_wu_od_to_os.9;car;1.05;
wu_as_to_sl.3;208.00;23687583_0;5.10;0.00;1.33;508.00;28706217_0;94.10;9.70;300.00;1976.75;104.00;2;0.00;147.33;0;tripinfo_wu_as_to_sl.3;car;1.20;
wu_ba_to_os.6;350.00;-230845886_0;5.10;0.00;0.33;509.00;45494495_0;58.90;12.41;159.00;1647.96;0.00;0;0.00;31.05;0;tripinfo_wu_ba_to_os.6;car;1.17;
wu_ba_to_ko.3;203.00;-230845886_0;5.10;0.00;0.05;510.00;972103805_0;116.86;9.26;307.00;2114.29;69.00;4;0.00;100.28;0;tripinfo_wu_ba_to_ko.3;car;0.93;
wu_ba_to_ko.4;208.00;-230845886_0;5.10;0.00;0.42;512.00;972103805_0;116.86;10.97;304.00;2114.29;66.00;4;0.00;122.05;0;tripinfo_wu_ba_to_ko.4;car;1.06;
wu_ba_to_od.4;226.00;-230845886_0;5.10;0.00;0.02;513.00;23156030#6_0;109.07;10.83;287.00;2315.50;50.00;1;0.00;75.94;0;tripinfo_wu_ba_to_od.4;car;0.99;
wu_as_to_ba.6;352.00;23687583_0;5.10;0.00;1.21;513.00;230845886_0;633.12;11.24;161.00;1356.50;28.00;1;0.00;45.17;0;tripinfo_wu_as_to_ba.6;car;1.05;
wu_os_to_od.4;401.00;-45494495_0;5.10;0.00;0.20;513.00;23156030#6_1;109.07;11.07;112.00;865.51;26.00;1;0.00;39.40;0;tripinfo_wu_os_to_od.4;car;1.07;
